sailing_id,arrival_hhmm,arrival_minutes,departure_hhmm,departure_minutes,display_order,duration_min,from_port,is_active,operator,route,season,service_note,to_port,via_text,is_conditional_service,conditional_type,conditional_route
anei-kanko__2026-04-01_2026-05-10__hateruma-port__ishigaki-port__1300,14:30,870,13:00,780,6,90,波照間港,yes,安栄観光,anei-kanko__波照間→石垣,2026年4月1日〜5月10日ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-04-01_2026-05-10__hateruma-port__ishigaki-port__1650,18:20,1100,16:50,1010,7,90,波照間港,yes,安栄観光,anei-kanko__波照間→石垣,2026年4月1日〜5月10日ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__kohama-port__0915,09:45,585,09:15,555,8,30,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→小浜,2026年4月1日〜5月10日ダイヤ,,小浜港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__kohama-port__1100,11:30,690,11:00,660,9,30,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→小浜,2026年4月1日〜5月10日ダイヤ,,小浜港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__kohama-port__1450,15:20,920,14:50,890,10,30,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→小浜,2026年4月1日〜5月10日ダイヤ,,小浜港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__kohama-port__1620,16:50,1010,16:20,980,11,30,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→小浜,2026年4月1日〜5月10日ダイヤ,,小浜港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__hateruma-port__0800,09:30,570,08:00,480,12,90,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→波照間,2026年4月1日〜5月10日ダイヤ,,波照間港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__hateruma-port__1145,13:15,795,11:45,705,13,90,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→波照間,2026年4月1日〜5月10日ダイヤ,,波照間港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__hateruma-port__1500,16:30,990,15:00,900,14,90,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→波照間,2026年4月1日〜5月10日ダイヤ,,波照間港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__taketomi-port__0730,07:45,465,07:30,450,15,15,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→竹富,2026年4月1日〜5月10日ダイヤ,,竹富港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__taketomi-port__0900,09:15,555,09:00,540,16,15,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→竹富,2026年4月1日〜5月10日ダイヤ,,竹富港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__taketomi-port__1000,10:15,615,10:00,600,17,15,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→竹富,2026年4月1日〜5月10日ダイヤ,,竹富港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__taketomi-port__1100,11:15,675,11:00,660,18,15,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→竹富,2026年4月1日〜5月10日ダイヤ,,竹富港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__taketomi-port__1230,12:45,765,12:30,750,19,15,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→竹富,2026年4月1日〜5月10日ダイヤ,,竹富港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__taketomi-port__1530,15:45,945,15:30,930,20,15,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→竹富,2026年4月1日〜5月10日ダイヤ,,竹富港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__taketomi-port__1630,16:45,1005,16:30,990,21,15,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→竹富,2026年4月1日〜5月10日ダイヤ,,竹富港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__taketomi-port__1730,17:45,1065,17:30,1050,22,15,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→竹富,2026年4月1日〜5月10日ダイヤ,,竹富港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__iriomote-uehara-port__0700,07:50,470,07:00,420,23,50,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→西表上原,2026年4月1日〜5月10日ダイヤ,,西表上原港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__iriomote-uehara-port__0830,09:50,590,08:30,510,24,80,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→西表上原,2026年4月1日〜5月10日ダイヤ,,西表上原港,鳩間経由,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__iriomote-uehara-port__1330,14:20,860,13:30,810,25,50,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→西表上原,2026年4月1日〜5月10日ダイヤ,,西表上原港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__iriomote-uehara-port__1630,17:50,1070,16:30,990,26,80,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→西表上原,2026年4月1日〜5月10日ダイヤ,,西表上原港,鳩間経由,no,,
